iter	Passed	Remaining
196	48383	202353
197	48571	201835
198	48775	201387
199	48957	200850
200	49195	200548
201	49394	200086
202	49574	199548
203	49743	198975
204	49923	198445
205	50140	198069
206	50338	197615
207	50537	197171
208	50732	196713
209	50925	196248
210	51153	195921
211	51350	195478
212	51544	195026
213	51750	194621
214	51970	194268
215	52181	193886
216	52367	193415
217	52544	192911
218	52735	192459
219	52921	191992
220	53174	191771
221	53357	191300
222	53538	190822
223	53730	190388
224	53934	189996
225	54147	189638
226	54333	189189
227	54532	188784
228	54727	188368
229	54932	187989
230	54932	187989
231	55122	187320
232	55305	186867
233	55499	186458
234	55687	186031
235	57958	192522
236	58170	192138
237	58347	191641
238	58560	191264
239	58730	190748
240	58969	190457
241	59159	190013
242	59351	189574
243	59554	189172
244	59741	188723
245	59979	188435
246	60184	188043
247	60375	187614
248	60564	187177
249	60750	186732
250	60973	186404
251	61156	185955
252	61338	185504
253	61551	185151
254	61742	184731
255	61958	184387
256	62153	183985
257	62337	183549
258	62561	183232
259	62755	182829
260	62755	182829
261	62948	182181
262	63135	181760
263	63332	181373
264	63526	180976
265	65789	186444
266	65981	186016
267	66165	185566
268	66361	185154
269	66574	184788
270	66822	184521
271	67017	184109
272	67213	183700
273	67402	183274
274	67596	182864
275	67808	182503
276	68006	182106
277	68197	181691
278	68388	181279
279	68566	180834
280	68785	180499
281	68981	180104
282	69176	179707
283	69375	179325
284	69569	178928
285	69802	178633
286	69999	178249
287	70179	177822
288	70370	177422
289	70576	177064
290	70784	176712
291	70971	176308
292	71178	175954
293	71364	175551
294	71537	175119
295	71772	174836
296	71954	174427
297	72145	174040
298	72352	173694
299	72538	173301
300	72764	173000
301	72959	172629
302	73139	172224
303	73325	171833
304	73541	171514
305	73541	171514
306	73733	170893
307	73932	170538
308	74124	170166
309	74300	169759
310	76534	174033
311	76735	173665
312	76941	173306
313	77137	172929
314	77333	172550
315	77545	172212
316	77758	171873
317	77972	171540
318	78156	171141
319	78349	170760
320	78349	170760
321	78534	170117
322	78753	169797
323	78935	169397
324	79141	169051
325	81391	173052
326	81581	172654
327	81788	172295
328	81961	171862
329	82137	171440
330	82347	171088
331	82535	170692
332	82718	170286
333	82897	169875
334	83089	169492
335	83297	169141
336	83521	168825
337	83713	168445
338	83913	168081
339	84113	167717
340	84330	167390
341	84524	167018
342	84718	166646
343	84920	166291
344	85125	165944
345	85338	165612
346	85535	165249
347	85715	164857
348	85899	164471
349	86094	164110
350	86301	163770
351	86518	163452
352	86707	163081
353	86897	162712
354	87105	162379
355	87324	162066
356	87522	161715
357	87701	161330
358	87922	161023
359	88119	160673
360	88343	160373
361	88540	160025
362	88726	159657
363	88919	159303
364	89107	158942
365	89325	158633
366	89526	158296
367	89727	157960
368	89909	157590
369	90098	157235
370	90323	156944
371	90521	156603
372	90700	156233
373	90900	155900
374	91102	155570
375	91310	155252
376	91501	154905
377	91684	154547
378	91894	154234
379	92086	153891
380	92299	153584
381	92490	153242
382	92685	152906
383	92888	152585
384	93090	152262
385	93340	152019
386	93543	151698
387	93769	151416
388	93952	151066
389	94141	150724
390	94374	150456
391	94587	150154
392	94790	149838
393	94978	149497
394	95194	149203
395	95415	148917
396	95625	148614
397	95818	148284
398	95998	147936
399	96204	147628
400	96399	147303
401	96613	147009
402	96809	146688
403	96993	146349
404	97209	146060
405	97400	145732
406	97606	145428
407	97810	145122
408	98009	144809
409	98209	144497
410	98429	144215
411	98627	143903
412	98816	143577
413	99011	143261
414	99011	143261
415	101250	145640
416	101427	145287
417	101614	144950
418	101811	144626
419	102028	144333
420	102271	144076
421	102499	143797
422	102715	143503
423	102926	143201
424	103195	142981
425	103195	142981
426	103386	142404
427	103567	142063
428	103794	141786
429	103990	141466
430	106228	143913
431	106412	143567
432	106600	143228
433	106801	142906
434	107003	142587
435	107199	142259
436	107402	141943
437	107585	141599
438	107585	141599
439	109824	143695
440	110020	143360
441	110213	143020
442	110409	142686
443	110597	142343
444	110822	142047
445	111022	141719
446	111204	141370
447	111400	141038
448	111606	140721
449	111808	140398
450	112029	140100
451	112229	139776
452	112432	139457
453	112621	139120
454	112837	138817
455	113018	138473
456	113224	138158
457	113419	137832
458	113643	137541
459	113858	137240
460	114047	136907
461	114248	136590
462	114434	136255
463	114630	135932
464	114827	135612
465	115033	135304
466	115224	134977
467	115428	134666
468	115668	134397
469	115877	134094
470	116067	133768
471	116268	133456
472	116450	133122
473	116656	132817
474	116857	132505
475	117063	132200
476	117262	131888
477	117451	131566
478	117668	131274
479	117869	130966
480	118072	130660
481	118260	130338
482	118477	130048
483	118706	129771
484	118914	129473
485	119103	129154
486	119305	128849
487	119502	128540
488	119502	128540
489	119691	127972
490	119891	127666
491	120074	127343
492	120250	127015
493	122522	128890
494	122729	128585
495	122939	128284
496	123136	127970
497	123314	127637
498	123540	127353
499	123724	127026
500	123927	126721
501	124128	126412
502	124312	126088
503	124519	125787
504	124726	125486
505	124906	125159
506	125094	124841
507	125312	124553
508	125561	124295
509	125765	123994
510	125955	123679
511	126158	123377
512	126335	123050
513	126335	123050
514	126517	122476
515	126721	122178
516	126909	121863
517	127114	121565
518	129394	123245
519	129579	122920
520	129775	122608
521	129964	122289
522	130158	121975
523	130395	121702
524	130592	121392
525	130799	121091
526	131005	120790
527	131212	120490
528	131451	120220
529	131644	119908
530	131816	119577
531	132018	119275
532	132217	118970
533	132441	118687
534	132633	118376
535	132828	118069
536	132998	117740
537	133206	117445
538	133409	117145
539	133595	116832
540	133788	116525
541	133981	116218
542	134187	115923
543	134424	115655
544	134627	115358
545	134834	115065
546	135014	114749
547	135210	114448
548	135423	114160
549	135619	113859
550	135809	113554
551	136017	113263
552	136233	112979
553	136440	112689
554	136634	112388
555	136826	112087
556	137014	111781
557	137203	111477
558	137402	111182
559	137589	110877
560	137781	110577
561	137985	110287
562	138177	109987
563	138388	109704
564	138590	109413
565	138780	109113
566	138993	108832
567	139201	108547
568	139201	108547
569	139384	107991
570	139583	107700
571	139775	107403
572	139978	107116
573	142195	108363
574	142403	108074
575	142603	107778
576	142800	107481
577	142800	107481
578	143025	106951
579	143216	106650
580	145435	107854
581	145654	107568
582	145654	107568
583	145868	107021
584	146047	106707
585	146249	106410
586	146467	106124
587	146656	105818
588	148902	106991
589	149073	106666
590	149249	106346
591	149426	106027
592	149643	105738
593	149855	105444
594	150036	105129
595	150238	104829
596	150448	104535
597	150648	104235
598	150865	103946
599	151094	103666
600	151284	103360
601	151476	103055
602	151663	102748
603	151848	102439
604	152043	102138
605	152238	101837
606	152419	101526
607	152612	101224
608	152848	100952
609	153031	100644
610	153218	100340
611	153414	100041
612	153638	99762
613	153858	99479
614	154054	99182
615	154243	98880
616	154445	98587
617	154651	98297
618	154878	98020
619	155049	97709
620	155234	97406
621	155441	97118
622	155646	96829
623	155853	96541
624	156081	96267
625	156276	95972
626	156477	95682
627	156673	95388
628	156894	95111
629	157116	94833
630	157324	94548
631	157487	94236
632	157680	93942
633	157876	93651
634	158074	93361
635	158282	93077
636	158449	92769
637	158648	92480
638	158860	92200
639	159053	91908
640	159257	91624
641	159438	91326
642	159623	91031
643	159886	90780
644	160107	90506
645	160293	90212
646	160474	89916
647	160669	89628
648	160874	89346
649	161075	89062
650	161271	88775
651	161459	88484
652	161664	88203
653	161895	87937
654	162070	87640
655	162247	87344
656	162423	87049
657	162627	86768
658	162844	86495
659	163028	86204
660	163225	85921
661	163403	85628
662	163591	85341
663	163802	85066
664	163984	84776
665	164167	84486
666	164359	84202
667	164540	83913
668	164783	83655
669	164977	83373
670	165166	83088
671	165373	82812
672	165581	82538
673	165796	82267
674	165996	81989
675	166190	81708
676	166372	81421
677	166553	81134
678	166780	80871
679	166975	80591
680	167172	80313
681	167393	80046
682	167574	79761
683	167791	79493
684	168006	79224
685	168182	78937
686	168376	78659
687	168585	78388
688	168811	78125
689	169002	77846
690	169182	77562
691	169375	77285
692	169583	77014
693	169825	76760
694	169999	76474
695	170188	76196
